,index,Escola,UF,Município,Endereço
0,73243,ESCOLA FREDERICO RODRIGUES DE OLIVEIRA,BA,Baianópolis,"POVOADO VARZEAS, PREDIO. DISTRITO DE VARZEAS. 47830-000 Baianópolis - BA."
1,73244,ESCOLA GETULIO VARGAS,BA,Baianópolis,"POVOADO DE LAGOA CLARA, ZONA RURAL. 47830-000 Baianópolis - BA."
2,73245,ESCOLA JUSCELINO KUBITSCHECK,BA,Baianópolis,"POVOADO DE RODEADOR, ZONA RURAL. 47830-000 Baianópolis - BA."
3,73246,ESCOLA JUTAHY MAGALHAES,BA,Baianópolis,"POVOADO TABUA, 47830-000 Baianópolis - BA."
4,73247,ESCOLA SAO SEBASTIAO- COCAL,BA,Baianópolis,"POVOADO COCAL, 47830-000 Baianópolis - BA."
5,73248,ESCOLA SANTO ANTONIO,BA,Baianópolis,"LAMARAO, 47830-000 Baianópolis - BA."
6,73249,ESCOLA MANOEL ACACIO DE SOUSA,BA,Baianópolis,"POVOADO DE BURITI CORTADO, ZONA RURAL. 47830-000 Baianópolis - BA."
7,73250,ESCOLA MATEUS SOUZA VIEIRA,BA,Baianópolis,"POVODO DE COCOS, ZONA RURAL. 47830-000 Baianópolis - BA."
8,73251,ESCOLA PADRE JOSE DE ANCHIETA,BA,Baianópolis,"LAGOA CLARA, ZONA RURAL. 47830-000 Baianópolis - BA."
9,73252,ESCOLA 13 DE MAIO,BA,Baianópolis,"POVOADO DEPALMEIRAS, ZONA RURAL. 47830-000 Baianópolis - BA."
10,73253,ESCOLA BALTAZARINO ANDRADE,BA,Baianópolis,"POVOADO DE GUAIRAS, ZONA RURAL. 47830-000 Baianópolis - BA."
11,73254,ESCOLA CAIO TORRES BANDEIRA,BA,Baianópolis,"RUA 13 DE MAIO, CENTRO. 47830-000 Baianópolis - BA."
12,73255,ESCOLA MUNICIPAL CASTRO ALVES,BA,Baianópolis,"AVENIDA A C M, 241 CENTRO. 47830-000 Baianópolis - BA."
13,73256,ESCOLA CECILIA MEIRELES,BA,Baianópolis,"POVOADO BRACINHO, 47830-000 Baianópolis - BA."
14,73257,ESCOLA JOSE BONIFACIO,BA,Baianópolis,"POVOADO DE QUEIMADOS, ZONA RURAL. 47830-000 Baianópolis - BA."
15,73258,ESCOLA JUAREZ DE SOUZA,BA,Baianópolis,"POVOADO CAPIM DE RAIZ, ZONA RURAL. 47830-000 Baianópolis - BA."
16,73259,ESCOLA MONTEIRO LOBATO,BA,Baianópolis,"POVOADO DE BEBEDOURO, RURAL. 47830-000 Baianópolis - BA."
17,73260,ESCOLA PEDRO MANOEL DE NOVAIS,BA,Baianópolis,"POVOADO RIO DOS ANGICOS, 47830-000 Baianópolis - BA."
18,73261,ESCOLA RUI BARBOSA,BA,Baianópolis,"RUA 07 DE ABRIL, CENTRO. 47830-000 Baianópolis - BA."
19,73262,ESCOLA SAO JOSE,BA,Baianópolis,"POVOADO BARBOSA, PREDIO. ZONO RURAL. 47830-000 Baianópolis - BA."
20,73263,ESCOLA MUNICIPAL SENHOR DO BONFIM,BA,Baianópolis,"POVOADO MOURAO, RURAL. 47830-000 Baianópolis - BA."
21,73264,EE - COLEGIO ESTADUAL PIO ALVES DOS SANTOS,BA,Baianópolis,"R. RUA LUIS EDUARDO MAGALHAES, CENTRO. 47830-000 Baianópolis - BA."
22,73265,LUIZ VIANA FILHO,BA,Baianópolis,"BAIXA CUSTODIO, ZONA RURAL. 47830-000 Baianópolis - BA."
23,73266,ESCOLA MUN D PEDRO I,BA,Baianópolis,"PVOADO DE VEREDA DO SAPE, ZONA RURAL. 47830-000 Baianópolis - BA."
24,73267,ESCOLA TOME DE SOUZA,BA,Baianópolis,"AGUAS CLARA, 47830-000 Baianópolis - BA."
25,73268,ESCOLA ANA NERI,BA,Baianópolis,"POVOADO DE VARZEAS, ZONA RURAL. 47830-000 Baianópolis - BA."
26,73269,ESCOLA JOSE ALVES SOBRINHO,BA,Baianópolis,"POVOADO VARZEAS, 47830-000 Baianópolis - BA."
27,73270,CENTRO EDUCACIONAL LUIZ VIANA FILHO,BA,Barreiras,"RUA DEPUTADO VIEIRA DE MELO, 393 SAO MIGUEL. 47800-400 Barreiras - BA."
28,73271,CENTRO EDUCACIONAL SAGRADO CORACAO DE JESUS,BA,Barreiras,"RUA GUARUJA, 484 RENATO GONCALVES. 47806-014 Barreiras - BA."
29,73272,CENTRO EDUCACIONAL TARCILO VIEIRA DE MELO,BA,Barreiras,"RUA DA CARIDADE, S/N SAO PEDRO. 47810-826 Barreiras - BA."
30,73273,EE - COLEGIO DEMOCRATICO ESTADUAL MARCOS FREIRE,BA,Barreiras,"RUA GILENO DE SA OLIVEIRA, S/N RECANTO DOS PASSAROS. 47808-006 Barreiras - BA."
31,73274,EE - COLEGIO ESTADUAL ANTONIO GERALDO,BA,Barreiras,"R. RUA JOSE BONIFICIO, 01 CENTRO. 47800-010 Barreiras - BA."
32,73275,COLEGIO MUNICIPAL EURIDES SANTANNA,BA,Barreiras,"RUA JOANA ANGELICA - LOTEAMENTO PRESIDENTE MEDICI, 524 PREDIO. SAO PEDRO. 47810-860 Barreiras - BA."
33,73276,COLEGIO MUN PROF VALDETE PIEDADE DE HOLANDA,BA,Barreiras,"QUADRA 06 CONJUNTO BURITIS I, S/N BURITIS. 47804-566 Barreiras - BA."
34,73277,CENTRO DE EDUCACAO INFANTIL NOSSA SENHORA DAS GRACAS,BA,Barreiras,"RUA C, S/N VILA DOS FUNCIONARIOS. 47813-442 Barreiras - BA."
35,73278,CENTRO DE EDUCACAO INFANTIL SAGRADO CORACAO DE JESUS,BA,Barreiras,"RUA PEDRO DOURADO, 71 JUSCELINO KUBITSCHEK. 47800-378 Barreiras - BA."
36,73279,EE - CENTRO TERRITORIAL DE EDUCACAO PROFISSIONAL DA BACIA DO RIO GRANDE,BA,Barreiras,"NULL ANTONIO CARLOS MAGALHAES, 2600 PD. FLAMENGO. 47802-660 Barreiras - BA."
37,73280,ESCOLA MUNICIPAL CAPITAO MARCOLINO,BA,Barreiras,"VAU DA BOA ESPERANCA, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
38,73281,ESCOLA MUNICIPAL DONA MARIA CASTRO E SILVA,BA,Barreiras,"RUA DINAMARCA, 70 PREDIO ESCOLAR. BOA SORTE. 47807-141 Barreiras - BA."
39,73282,ESCOLA MUNICIPAL PEDRO CAVALCANTE DA SILVA,BA,Barreiras,"RUA C POVOADO BARREIRAS SUL, ZONA RURAL. AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
40,73283,EE - COLEGIO ESTADUAL DE BARREIRINHAS,BA,Barreiras,"R. PRACA PROFESSOR ROBERTO SANTOS, PD. BOA VISTA. 47806-160 Barreiras - BA."
41,73284,ESCOLA MUNICIPAL PROFESSOR JOSE AGOSTINHO PORTO,BA,Barreiras,"RUA D POVOADO BARAUNA, S/N ZONA RURAL. 47800-970 Barreiras - BA."
42,73285,ESCOLA MUNICIPAL FRANCISCO JOAQUIM DE LIMA,BA,Barreiras,"RUA BELGICA, 139 BOA SORTE. 47807-225 Barreiras - BA."
43,73286,EE - COLEGIO ESTADUAL JOSE DE CASTRO,BA,Barreiras,"R. RUA RONALDO CAIADO, 404 NOVO HORIZONTE. 47800-010 Barreiras - BA."
